protocol,outcome,model,lang,subject,n,spearman_rho,mae_log,roc_auc,brier
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp09,13983,0.023568042004770775,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp10,11302,-0.022244529212710865,0.47702225882344595,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp10,11302,-0.0005713259155357749,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp10,11302,0.01358038694595464,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp10,11302,-0.020820156782574466,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp10,11302,0.0023995655678329102,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp11,12157,0.1531821540776752,0.4539165511813949,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp11,12157,0.023493637326024566,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp11,12157,-0.04322818505193649,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp11,12157,0.15062458033243284,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp11,12157,0.010598123514962655,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp12,11968,-0.002166767017382713,0.4899443966789334,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp12,11968,0.00045217328735289554,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp12,11968,-0.0066557859500104895,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp12,11968,-0.0015757929522445542,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp12,11968,-0.004137333843146223,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp13,14026,0.2148325376130281,0.48728427932168766,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp13,14026,0.014895663516173089,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp13,14026,-0.03717654456236099,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp13,14026,0.2160007545906801,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp13,14026,0.003717004696575426,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp14,11965,-0.0043961192467824985,0.48379334014481395,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp14,11965,-0.017034804243017516,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp14,11965,-0.0075586002216605245,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp14,11965,0.0004410458248915843,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp14,11965,-0.018271856312777935,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp15,15464,0.22384019706852437,0.5351403045963946,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp15,15464,0.015397234408649256,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp15,15464,-0.04951974112790169,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp15,15464,0.22609659514009076,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp15,15464,0.002563296552918906,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp16,12235,-0.017362723966967166,0.4940885636098313,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp16,12235,-0.009162757888756106,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp16,12235,0.0073871890134094955,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp16,12235,-0.015820414949084583,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp16,12235,-0.005975193586905373,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp17,16181,0.28111034502642246,0.5700883844087438,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp17,16181,0.0569916643915404,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp17,16181,-0.045995303598994654,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp17,16181,0.2801331830162505,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp17,16181,0.041882192319922636,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L1,L1|pp19,11904,0.17058054039858894,0.5001019492682733,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L1,L1|pp19,11904,0.032443932304965804,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L1,L1|pp19,11904,-0.03243518158747119,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L1,L1|pp19,11904,0.16828546140194248,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L1,L1|pp19,11904,0.022807926994485687,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp01,12793,0.12382795020855916,0.4790168237444652,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp01,12793,-0.05575023336417364,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp01,12793,-0.067272462080327,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp01,12793,0.1269410907883281,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp01,12793,-0.06622500609276039,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp02,13872,0.061806860941946457,0.5091789362274007,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp02,13872,0.002024848413288911,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp02,13872,-0.013799482736830262,,,
