subject,duration_n,fixation_n,geco_lexical_ridge_spearman_rho,word_length_only_spearman_rho,lexical_rarity_only_spearman_rho,geco_lexical_ridge_mae_log,geco_fixation_logistic_roc_auc,geco_fixation_logistic_brier
Sub01,1907,2743,0.12361662854187382,0.23284198916957058,0.22434863002142919,0.40431225723998715,0.6815569307738049,0.19690309271115486
Sub02,2158,2743,0.18965162449217876,0.23902680804653265,0.2352262398852721,0.45356040234318756,0.6318528552078135,0.16527245930145842
Sub03,2120,2743,0.341874307141421,0.4305059551702415,0.3890506512372292,0.5104577652803095,0.6646218843696053,0.16666188945421045
Sub04,1788,2743,0.11530672933885511,0.2535177857030576,0.23912982929198157,0.4856475041947851,0.5658693207772585,0.2378959913409347
Sub05,1666,2743,0.17643280388815227,0.2473857976332288,0.2671457652004729,0.5103637420402035,0.6476075109709623,0.24371248758374006
Sub06,2040,2743,0.31783795109390384,0.44323568601708224,0.437890724703605,0.4533961547468451,0.6751882687641202,0.17708648308656175
Sub07,1856,2743,0.15917952332827345,0.3488267173123014,0.3311107981634633,0.48634932396987746,0.6651671169770245,0.20758414611330187
Sub08,1989,2743,0.2465243463508105,0.32026936650090915,0.3253658320454505,0.3980268842254472,0.6627625681300201,0.18612647135585064
Sub09,1537,2743,0.14299674144204316,0.25857266308260457,0.27341869007686015,0.4831816580238031,0.6057381170486755,0.2749305849960719
Sub10,2046,2743,0.21275385954951137,0.2834413432710464,0.2824007471345452,0.4234009184167193,0.6810966143127017,0.1750758105135937
Sub11,2131,2743,0.2415418019842984,0.3326282009791668,0.32587657243615054,0.4451963234455111,0.6621983143327721,0.16461157777267987
Sub12,2070,2743,0.283550281816618,0.3806850945286616,0.37830603334695084,0.4628818247161853,0.6582979807768231,0.17532688741985442
Sub13,2093,2743,0.3499400014505708,0.4741080317067927,0.4353969682083194,0.44640738870032365,0.6783259215700688,0.16825649457504915
Sub14,1982,2743,0.15959711081709346,0.29556237380110384,0.2733777592311127,0.49993767206003964,0.6283446551154874,0.19389123603299063
Sub15,1819,2743,0.2684774731886148,0.4178817576731247,0.3912714325461468,0.4615059411885792,0.6449594706191738,0.21799497029436946
Sub16,1716,2743,0.19074699189809016,0.20741464281109456,0.1696738258358,0.45549458301999113,0.657910371031111,0.23295290772244323
Sub17,1868,2743,0.19014953231764936,0.33810514864303426,0.30139025140743564,0.4693105398103014,0.6057464056286326,0.21647166988548613
Sub18,2214,2743,0.24280637450719383,0.29058009163739773,0.3106924001758018,0.42092065930742073,0.6382946296381679,0.15545009698199921
Sub19,1951,2743,0.199100059942168,0.23935318904235148,0.23769746962190177,0.4377554417795637,0.661548532480106,0.192953929912503
Sub20,2157,2743,0.27757241389254383,0.3234754314245798,0.3112568433632374,0.4273947901117208,0.6445001669301156,0.1640227525603343
Sub21,1888,2743,0.3343093514351867,0.44296128039564825,0.4159068269443229,0.4361277672433835,0.6678817895728021,0.20254828294713087
Sub22,1820,2743,0.2702237948022654,0.36928250713136845,0.3609092573616149,0.5079881496803141,0.6280288238305574,0.22059562508225666
Sub23,1958,2743,0.2971444465885212,0.3384859715883825,0.3371146396205539,0.4826787496054155,0.6852364625283827,0.18750845072529218
